Date_Easy,HospitalizedPatients,IntensiveCarePatients,TotalHospitalizedPatients,HomeConfinement,CurrentPositiveCases,NewPositiveCases,Recovered,Deaths,TotalPositiveCases
2020-02-24,101,26,127,94,221,221,1,7,229
2020-02-25,114,35,149,162,311,93,1,10,322
2020-02-26,128,36,164,221,385,78,3,12,400
2020-02-27,248,56,304,284,588,250,45,17,650
2020-02-28,345,64,409,412,821,238,46,21,888
2020-02-29,401,105,506,543,1049,240,50,29,1128
2020-03-01,639,140,779,798,1577,566,83,34,1694
2020-03-02,742,166,908,927,1835,342,149,52,2036
2020-03-03,1034,229,1263,1000,2263,466,160,79,2502
2020-03-04,1346,295,1641,1065,2706,587,276,107,3089
2020-03-05,1790,351,2141,1155,3296,769,414,148,3858
2020-03-06,2394,462,2856,1060,3916,778,523,197,4636
2020-03-07,2651,567,3218,1843,5061,1247,589,233,5883
2020-03-08,3557,650,4207,2180,6387,1492,622,366,7375
2020-03-09,4316,733,5049,2936,7985,1797,724,463,9172
2020-03-10,5038,877,5915,2599,8514,977,1004,631,10149
2020-03-11,5838,1028,6866,3724,10590,2313,1045,827,12462
2020-03-12,6650,1153,7803,5036,12839,2651,1258,1016,15113
2020-03-13,7426,1328,8754,6201,14955,2547,1439,1266,17660
2020-03-14,8372,1518,9890,7860,17750,3497,1966,1441,21157
2020-03-15,9663,1672,11335,9268,20603,3590,2335,1809,24747
2020-03-16,11025,1851,12876,10197,23073,3233,2749,2158,27980
2020-03-17,12894,2060,14954,11108,26062,3526,2941,2503,31506
2020-03-18,14363,2257,16620,12090,28710,4207,4025,2978,35713
2020-03-19,15757,2498,18255,14935,33190,5322,4440,3405,41035
2020-03-20,16020,2655,18675,19185,37860,5986,5129,4032,47021
2020-03-21,17708,2857,20565,22116,42681,6557,6072,4825,53578
2020-03-22,19846,3009,22855,23783,46638,5560,7024,5476,59138
2020-03-23,20692,3204,23896,26522,50418,4789,7432,6077,63927
2020-03-24,21937,3396,25333,28697,54030,5249,8326,6820,69176
2020-03-25,23112,3489,26601,30920,57521,5210,9362,7503,74386
2020-03-26,24753,3612,28365,33648,62013,6153,10361,8165,80539
2020-03-27,26029,3732,29761,36653,66414,5959,10950,9134,86498
2020-03-28,26676,3856,30532,39533,70065,5974,12384,10023,92472
2020-03-29,27386,3906,31292,42588,73880,5217,13030,10779,97689
2020-03-30,27795,3981,31776,43752,75528,4050,14620,11591,101739
2020-03-31,28192,4023,32215,45420,77635,4053,15729,12428,105792
2020-04-01,28403,4035,32438,48134,80572,4782,16847,13155,110574
2020-04-02,28540,4053,32593,50456,83049,4668,18278,13915,115242
2020-04-03,28741,4068,32809,52579,85388,4585,19758,14681,119827
2020-04-04,29010,3994,33004,55270,88274,4805,20996,15362,124632
2020-04-05,28949,3977,32926,58320,91246,4316,21815,15887,128948
2020-04-06,28976,3898,32874,60313,93187,3599,22837,16523,132547
2020-04-07,28718,3792,32510,61557,94067,3039,24392,17127,135586
2020-04-08,28485,3693,32178,63084,95262,3836,26491,17669,139422
2020-04-09,28399,3605,32004,64873,96877,4204,28470,18279,143626
2020-04-10,28242,3497,31739,66534,98273,3951,30455,18849,147577
2020-04-11,28144,3381,31525,68744,100269,4694,32534,19468,152271
2020-04-12,27847,3343,31190,71063,102253,4092,34211,19899,156363
2020-04-13,28023,3260,31283,72333,103616,3153,35435,20465,159516
2020-04-14,28011,3186,31197,73094,104291,2972,37130,21067,162488
2020-04-15,27643,3079,30722,74696,105418,2667,38092,21645,165155
2020-04-16,26893,2936,29829,76778,106607,3786,40164,22170,168941
2020-04-17,25786,2812,28598,78364,106962,3493,42727,22745,172434
2020-04-18,25007,2733,27740,80031,107771,3491,44927,23227,175925
2020-04-19,25033,2635,27668,80589,108257,3047,47055,23660,178972
2020-04-20,24906,2573,27479,80758,108237,2256,48877,24114,181228
2020-04-21,24134,2471,26605,81104,107709,2729,51600,24648,183957
2020-04-22,23805,2384,26189,81510,107699,3370,54543,25085,187327
2020-04-23,22871,2267,25138,81710,106848,2646,57576,25549,189973
2020-04-24,22068,2173,24241,82286,106527,3021,60498,25969,192994
2020-04-25,21533,2102,23635,82212,105847,2357,63120,26384,195351
2020-04-26,21372,2009,23381,82722,106103,2324,64928,26644,197675
2020-04-27,20353,1956,22309,83504,105813,1739,66624,26977,199414
2020-04-28,19723,1863,21586,83619,105205,2091,68941,27359,201505
2020-04-29,19210,1795,21005,83652,104657,2086,71252,27682,203591
2020-04-30,18149,1694,19843,81708,101551,1872,75945,27967,205463
2020-05-01,17569,1578,19147,81796,100943,1965,78249,28236,207428
2020-05-02,17357,1539,18896,81808,100704,1900,79914,28710,209328
2020-05-03,17242,1501,18743,81436,100179,1389,81654,28884,210717
2020-05-04,16823,1479,18302,81678,99980,1221,82879,29079,211938
2020-05-05,16270,1427,17697,80770,98467,1075,85231,29315,213013
2020-05-06,15769,1333,17102,74426,91528,1444,93245,29684,214457
2020-05-07,15174,1311,16485,73139,89624,1401,96276,29958,215858
2020-05-08,14636,1168,15804,72157,87961,1327,99023,30201,217185
2020-05-09,13834,1034,14868,69974,84842,1083,103031,30395,218268
2020-05-10,13618,1027,14645,68679,83324,802,105186,30560,219070
2020-05-11,13539,999,14538,67950,82488,744,106587,30739,219814
2020-05-12,12865,952,13817,67449,81266,1402,109039,30911,221216
2020-05-13,12172,893,13065,65392,78457,888,112541,31106,222104
2020-05-14,11453,855,12308,64132,76440,992,115288,31368,223096
2020-05-15,10792,808,11600,60470,72070,789,120205,31610,223885
2020-05-16,10400,775,11175,59012,70187,875,122810,31763,224760
2020-05-17,10311,762,11073,57278,68351,675,125176,31908,225435
2020-05-18,10207,749,10956,55597,66553,451,127326,32007,225886
2020-05-19,9991,716,10707,54422,65129,813,129401,32169,226699
2020-05-20,9624,676,10300,52452,62752,665,132282,32330,227364
2020-05-21,9269,640,9909,51051,60960,642,134560,32486,228006
2020-05-22,8957,595,9552,49770,59322,652,136720,32616,228658
2020-05-23,8695,572,9267,48485,57752,669,138840,32735,229327
2020-05-24,8613,553,9166,47428,56594,531,140479,32785,229858
2020-05-25,8185,541,8726,46574,55300,300,141981,32877,230158
2020-05-26,7917,521,8438,44504,52942,397,144658,32955,230555
2020-05-27,7729,505,8234,42732,50966,584,147101,33072,231139
2020-05-28,7379,489,7868,40118,47986,593,150604,33142,231732
2020-05-29,7094,475,7569,38606,46175,516,152844,33229,232248
2020-05-30,6680,450,7130,36561,43691,416,155633,33340,232664
2020-05-31,6387,435,6822,35275,42097,355,157507,33415,233019
2020-06-01,6099,424,6523,34844,41367,178,158355,33475,233197
2020-06-02,5916,408,6324,33569,39893,318,160092,33530,233515
2020-06-03,5742,353,6095,33202,39297,321,160938,33601,233836
2020-06-04,5503,338,5841,32588,38429,177,161895,33689,234013
2020-06-05,5301,316,5617,31359,36976,518,163781,33774,234531
2020-06-06,5002,293,5295,30582,35877,270,165078,33846,234801
2020-06-07,4864,287,5151,30111,35262,197,165837,33899,234998
2020-06-08,4729,283,5012,29718,34730,280,166584,33964,235278
2020-06-09,4581,263,4844,28028,32872,283,168646,34043,235561
2020-06-10,4320,249,4569,27141,31710,202,169939,34114,235763
2020-06-11,4131,236,4367,26270,30637,379,171338,34167,236142
2020-06-12,3893,227,4120,24877,28997,163,173085,34223,236305
2020-06-13,3747,220,3967,23518,27485,346,174865,34301,236651
2020-06-14,3594,209,3803,22471,26274,338,176370,34345,236989
2020-06-15,3489,207,3696,22213,25909,303,177010,34371,237290
2020-06-16,3301,177,3478,21091,24569,210,178526,34405,237500
2020-06-17,3113,163,3276,20649,23925,329,179455,34448,237828
2020-06-18,2867,168,3035,20066,23101,333,180544,34514,238159
2020-06-19,2632,161,2793,18750,21543,251,181907,34561,238011
2020-06-20,2474,152,2626,18586,21212,262,182453,34610,238275
2020-06-21,2314,148,2462,18510,20972,224,182893,34634,238499
2020-06-22,2038,127,2165,18472,20637,218,183426,34657,238720
2020-06-23,1853,115,1968,17605,19573,122,184585,34675,238833
2020-06-24,1610,107,1717,16938,18655,190,186111,34644,239410
2020-06-25,1515,103,1618,16685,18303,296,186725,34678,239706
2020-06-26,1356,105,1461,16177,17638,259,187615,34708,239961
2020-06-27,1260,97,1357,15479,16836,175,188584,34716,240136
2020-06-28,1160,98,1258,15423,16681,174,188891,34738,240310
2020-06-29,1120,96,1216,15280,16496,126,189196,34744,240436
2020-06-30,1090,93,1183,14380,15563,142,190248,34767,240578
2020-07-01,1025,87,1112,14143,15255,187,190717,34788,240760
2020-07-02,963,82,1045,14015,15060,201,191083,34818,240961
2020-07-03,956,79,1035,13849,14884,223,191467,34833,241184
2020-07-04,940,71,1011,13610,14621,235,191944,34854,241419
2020-07-05,945,74,1019,13623,14642,192,192108,34861,241611
2020-07-06,946,72,1018,13691,14709,208,192241,34869,241819
2020-07-07,940,70,1010,13232,14242,138,192815,34899,241956
2020-07-08,899,71,970,12625,13595,193,193640,34914,242149
2020-07-09,871,69,940,12519,13459,229,193978,34926,242363
2020-07-10,844,65,909,12519,13428,276,194273,34938,242639
2020-07-11,826,67,893,12410,13303,188,194579,34945,242827
2020-07-12,776,68,844,12335,13179,234,194928,34954,243061
2020-07-13,768,65,833,12324,13157,169,195106,34967,243230
2020-07-14,777,60,837,12082,12919,114,195441,34984,243344
2020-07-15,797,57,854,11639,12493,163,196016,34997,243506
2020-07-16,750,53,803,11670,12473,230,196246,35017,243736
2020-07-17,771,50,821,11635,12456,233,196483,35028,243967
2020-07-18,757,50,807,11561,12368,249,196806,35042,244216
2020-07-19,743,49,792,11648,12440,219,196949,35045,244434
2020-07-20,745,47,792,11612,12404,190,197162,35058,244624
2020-07-21,732,49,781,11467,12248,129,197431,35073,244752
2020-07-22,724,48,772,11550,12322,282,197628,35082,245032
2020-07-23,713,49,762,11642,12404,306,197842,35092,245338
2020-07-24,713,46,759,11542,12301,252,198192,35097,245590
2020-07-25,731,41,772,11670,12442,275,198320,35102,245864
2020-07-26,735,44,779,11786,12565,255,198446,35107,246118
2020-07-27,740,45,785,11796,12581,170,198593,35112,246286
2020-07-28,749,40,789,11820,12609,212,198756,35123,246488
2020-07-29,731,38,769,11847,12616,289,199031,35129,246776
2020-07-30,748,47,795,11435,12230,386,199796,35132,247158
2020-07-31,716,41,757,11665,12422,379,199974,35141,247537
2020-08-01,705,43,748,11709,12457,295,200229,35146,247832
2020-08-02,708,42,750,11706,12456,239,200460,35154,248070
2020-08-03,734,41,775,11699,12474,159,200589,35166,248229
2020-08-04,761,41,802,11680,12482,190,200766,35171,248419
2020-08-05,764,41,805,11841,12646,384,200976,35181,248803
2020-08-06,762,42,804,11890,12694,402,201323,35187,249204
2020-08-07,779,42,821,12103,12924,552,201642,35190,249756
2020-08-08,771,43,814,12139,12953,347,201947,35203,250103
2020-08-09,763,45,808,12455,13263,463,202098,35205,250566
2020-08-10,779,46,825,12543,13368,259,202248,35209,250825
2020-08-11,801,49,850,12711,13561,412,202461,35215,251237
2020-08-12,779,53,832,12959,13791,481,202697,35225,251713
2020-08-13,786,55,841,13240,14081,523,202923,35231,252235
2020-08-14,771,56,827,13422,14249,574,203326,35234,252809
2020-08-15,764,55,819,13587,14406,629,203640,35392,253438
2020-08-16,787,56,843,13890,14733,479,203786,35396,253915
2020-08-17,810,58,868,13999,14867,320,203968,35400,254235
2020-08-18,843,58,901,14188,15089,403,204142,35405,254636
2020-08-19,866,66,932,14428,15360,642,204506,35412,255278
2020-08-20,883,68,951,15063,16014,845,204686,35418,256118
2020-08-21,919,69,988,15690,16678,947,204960,35427,257065
2020-08-22,924,64,988,16515,17503,1071,205203,35430,258136
2020-08-23,971,69,1040,17398,18438,1210,205470,35437,259345
2020-08-24,1045,65,1110,18085,19195,953,205662,35441,260298
2020-08-25,1058,66,1124,18590,19714,878,206015,35445,261174