Date_Easy,%IntensiveCare-TotHosp,%Deaths-TotPos,%TotHosp-TotPos,%Recovered-TotPos
2020-02-24,20.47,3.06,57.47,0.44
2020-02-25,23.49,3.11,47.91,0.31
2020-02-26,21.95,3,42.6,0.75
2020-02-27,18.42,2.62,51.7,6.92
2020-02-28,15.65,2.36,49.82,5.18
2020-02-29,20.75,2.57,48.24,4.43
2020-03-01,17.97,2.01,49.4,4.9
2020-03-02,18.28,2.55,49.48,7.32
2020-03-03,18.13,3.16,55.81,6.39
2020-03-04,17.98,3.46,60.64,8.93
2020-03-05,16.39,3.84,64.96,10.73
2020-03-06,16.18,4.25,72.93,11.28
2020-03-07,17.62,3.96,63.58,10.01
2020-03-08,15.45,4.96,65.87,8.43
2020-03-09,14.52,5.05,63.23,7.89
2020-03-10,14.83,6.22,69.47,9.89
2020-03-11,14.97,6.64,64.83,8.39
2020-03-12,14.78,6.72,60.78,8.32
2020-03-13,15.17,7.17,58.54,8.15
2020-03-14,15.35,6.81,55.72,9.29
2020-03-15,14.75,7.31,55.02,9.44
2020-03-16,14.38,7.71,55.81,9.82
2020-03-17,13.78,7.94,57.38,9.33
2020-03-18,13.58,8.34,57.89,11.27
2020-03-19,13.68,8.3,55,10.82
2020-03-20,14.22,8.57,49.33,10.91
2020-03-21,13.89,9.01,48.18,11.33
2020-03-22,13.17,9.26,49.01,11.88
2020-03-23,13.41,9.51,47.4,11.63
2020-03-24,13.41,9.86,46.89,12.04
2020-03-25,13.12,10.09,46.25,12.59
2020-03-26,12.73,10.14,45.74,12.86
2020-03-27,12.54,10.56,44.81,12.66
2020-03-28,12.63,10.84,43.58,13.39
2020-03-29,12.48,11.03,42.36,13.34
2020-03-30,12.53,11.39,42.07,14.37
2020-03-31,12.49,11.75,41.5,14.87
2020-04-01,12.44,11.9,40.26,15.24
2020-04-02,12.44,12.07,39.25,15.86
2020-04-03,12.4,12.25,38.42,16.49
2020-04-04,12.1,12.33,37.39,16.85
2020-04-05,12.08,12.32,36.08,16.92
2020-04-06,11.86,12.47,35.28,17.23
2020-04-07,11.66,12.63,34.56,17.99
2020-04-08,11.48,12.67,33.78,19
2020-04-09,11.26,12.73,33.04,19.82
2020-04-10,11.02,12.77,32.3,20.64
2020-04-11,10.72,12.79,31.44,21.37
2020-04-12,10.72,12.73,30.5,21.88
2020-04-13,10.42,12.83,30.19,22.21
2020-04-14,10.21,12.97,29.91,22.85
2020-04-15,10.02,13.11,29.14,23.06
2020-04-16,9.84,13.12,27.98,23.77
2020-04-17,9.83,13.19,26.74,24.78
2020-04-18,9.85,13.2,25.74,25.54
2020-04-19,9.52,13.22,25.56,26.29
2020-04-20,9.36,13.31,25.39,26.97
2020-04-21,9.29,13.4,24.7,28.05
2020-04-22,9.1,13.39,24.32,29.12
2020-04-23,9.02,13.45,23.53,30.31
2020-04-24,8.96,13.46,22.76,31.35
2020-04-25,8.89,13.51,22.33,32.31
2020-04-26,8.59,13.48,22.04,32.85
2020-04-27,8.77,13.53,21.08,33.41
2020-04-28,8.63,13.58,20.52,34.21
2020-04-29,8.55,13.6,20.07,35
2020-04-30,8.54,13.61,19.54,36.96
2020-05-01,8.24,13.61,18.97,37.72
2020-05-02,8.14,13.72,18.76,38.18
2020-05-03,8.01,13.71,18.71,38.75
2020-05-04,8.08,13.72,18.31,39.11
2020-05-05,8.06,13.76,17.97,40.01
2020-05-06,7.79,13.84,18.68,43.48
2020-05-07,7.95,13.88,18.39,44.6
2020-05-08,7.39,13.91,17.97,45.59
2020-05-09,6.95,13.93,17.52,47.2
2020-05-10,7.01,13.95,17.58,48.01
2020-05-11,6.87,13.98,17.62,48.49
2020-05-12,6.89,13.97,17,49.29
2020-05-13,6.84,14.01,16.65,50.67
2020-05-14,6.95,14.06,16.1,51.68
2020-05-15,6.97,14.12,16.1,53.69
2020-05-16,6.94,14.13,15.92,54.64
2020-05-17,6.88,14.15,16.2,55.53
2020-05-18,6.84,14.17,16.46,56.37
2020-05-19,6.69,14.19,16.44,57.08
2020-05-20,6.56,14.22,16.41,58.18
2020-05-21,6.46,14.25,16.25,59.02
2020-05-22,6.23,14.26,16.1,59.79
2020-05-23,6.17,14.27,16.05,60.54
2020-05-24,6.03,14.26,16.2,61.12
2020-05-25,6.2,14.28,15.78,61.69
2020-05-26,6.17,14.29,15.94,62.74
2020-05-27,6.13,14.31,16.16,63.64
2020-05-28,6.22,14.3,16.4,64.99
2020-05-29,6.28,14.31,16.39,65.81
2020-05-30,6.31,14.33,16.32,66.89
2020-05-31,6.38,14.34,16.21,67.59
2020-06-01,6.5,14.35,15.77,67.91
2020-06-02,6.45,14.36,15.85,68.56
2020-06-03,5.79,14.37,15.51,68.83
2020-06-04,5.79,14.4,15.2,69.18
2020-06-05,5.63,14.4,15.19,69.83
2020-06-06,5.53,14.41,14.76,70.31
2020-06-07,5.57,14.43,14.61,70.57
2020-06-08,5.65,14.44,14.43,70.8
2020-06-09,5.43,14.45,14.74,71.59
2020-06-10,5.45,14.47,14.41,72.08
2020-06-11,5.4,14.47,14.25,72.56
2020-06-12,5.51,14.48,14.21,73.25
2020-06-13,5.55,14.49,14.43,73.89
2020-06-14,5.5,14.49,14.47,74.42
2020-06-15,5.6,14.48,14.27,74.6
2020-06-16,5.09,14.49,14.16,75.17
2020-06-17,4.98,14.48,13.69,75.46
2020-06-18,5.54,14.49,13.14,75.81
2020-06-19,5.76,14.52,12.96,76.43
2020-06-20,5.79,14.53,12.38,76.57
2020-06-21,6.01,14.52,11.74,76.69
2020-06-22,5.87,14.52,10.49,76.84
2020-06-23,5.84,14.52,10.05,77.29
2020-06-24,6.23,14.47,9.2,77.74
2020-06-25,6.37,14.47,8.84,77.9
2020-06-26,7.19,14.46,8.28,78.19
2020-06-27,7.15,14.46,8.06,78.53
2020-06-28,7.79,14.46,7.54,78.6
2020-06-29,7.89,14.45,7.37,78.69
2020-06-30,7.86,14.45,7.6,79.08
2020-07-01,7.82,14.45,7.29,79.21
2020-07-02,7.85,14.45,6.94,79.3
2020-07-03,7.63,14.44,6.95,79.39
2020-07-04,7.02,14.44,6.91,79.51
2020-07-05,7.26,14.43,6.96,79.51
2020-07-06,7.07,14.42,6.92,79.5
2020-07-07,6.93,14.42,7.09,79.69
2020-07-08,7.32,14.42,7.13,79.97
2020-07-09,7.34,14.41,6.98,80.04
2020-07-10,7.15,14.4,6.77,80.07
2020-07-11,7.5,14.39,6.71,80.13
2020-07-12,8.06,14.38,6.4,80.2
2020-07-13,7.8,14.38,6.33,80.21
2020-07-14,7.17,14.38,6.48,80.31
2020-07-15,6.67,14.37,6.84,80.5
2020-07-16,6.6,14.37,6.44,80.52
2020-07-17,6.09,14.36,6.59,80.54
2020-07-18,6.2,14.35,6.52,80.59
2020-07-19,6.19,14.34,6.37,80.57
2020-07-20,5.93,14.33,6.39,80.6
2020-07-21,6.27,14.33,6.38,80.67
2020-07-22,6.22,14.32,6.27,80.65
2020-07-23,6.43,14.3,6.14,80.64
2020-07-24,6.06,14.29,6.17,80.7
2020-07-25,5.31,14.28,6.2,80.66
2020-07-26,5.65,14.26,6.2,80.63
2020-07-27,5.73,14.26,6.24,80.64
2020-07-28,5.07,14.25,6.26,80.64
2020-07-29,4.94,14.24,6.1,80.65
2020-07-30,5.91,14.21,6.5,80.84
2020-07-31,5.42,14.2,6.09,80.79
2020-08-01,5.75,14.18,6,80.79
2020-08-02,5.6,14.17,6.02,80.81
2020-08-03,5.29,14.17,6.21,80.81
2020-08-04,5.11,14.16,6.43,80.82
2020-08-05,5.09,14.14,6.37,80.78
2020-08-06,5.22,14.12,6.33,80.79
2020-08-07,5.12,14.09,6.35,80.74
2020-08-08,5.28,14.08,6.28,80.75
2020-08-09,5.57,14.05,6.09,80.66
2020-08-10,5.58,14.04,6.17,80.63
2020-08-11,5.76,14.02,6.27,80.59
2020-08-12,6.37,13.99,6.03,80.53
2020-08-13,6.54,13.97,5.97,80.45
2020-08-14,6.77,13.94,5.8,80.43
2020-08-15,6.72,13.96,5.69,80.35
2020-08-16,6.64,13.94,5.72,80.26
2020-08-17,6.68,13.92,5.84,80.23
2020-08-18,6.44,13.9,5.97,80.17
2020-08-19,7.08,13.87,6.07,80.11
2020-08-20,7.15,13.83,5.94,79.92
2020-08-21,6.98,13.78,5.92,79.73
2020-08-22,6.48,13.73,5.64,79.49
2020-08-23,6.63,13.66,5.64,79.23
2020-08-24,5.86,13.62,5.78,79.01
2020-08-25,5.87,13.57,5.7,78.88